text
SOMEPPL THINK LITTLE GIRLSSHOULD BE SEEN AND NOT HEARD BUT I THINK OHBONDAGE UP URS ly
It’s certain signs to figure out if ya niggagirl cheating  all niggas and girlsshould know thisi never can get played cuz I’m always aware of everythingBtw baby when u see this on my mom it’s not about u I’m just sayin this cuz I don’t see tweets to retweet about this
Having your period and working for 10 hours is really the worst girlsshould get PAID sick days for the first two days on ur period
Tonight with my girlsshould be fun always is 
Happy InternationalWomensDay to all of the strong and amazing women in my life that Im thankful to call friends mentors and colleagues WhoRunsTheWorld GirlsShould
I hope you know that you are beautiful every second of the day crying or not laughing or not 247 you are perfect
I cant get over him but he moved on so fast
A message to every girl out theretry to disconnect from social media find yourself if you have no self respect and cut yourself and attempt suicide you don’t know your worth You are worth everything to someone and believe it or not but someone loves yoube patientgirlpower
R Kelly isapedophilethatcontinoustoendanger the welfareofOur innocent Young girlsshould Been held accountable whereRonIsleywhenUneedHim
These girlsshould work on bleaching the fingers too NottiFlow NairobiDiaries
I think yoga pants  for girlsshould be banned cause dammmneed
MuslimLittle GirlsShould NotWear DressesThat MakeThem Look Like SlutsThisTrend of Wearing Sleeve Less Blouses With Mini Skirts is Unislamic
GirlsShould not saying nothing stupid to me cause Im not playing with you bitches
VevoTGE GirlsShould love their man
All GirlsShould know how to roll
GirlsShould neva eva fight ova a guycos if he left υ 4 herhe wld definitely leave her 4 some1 else 2its lik karma
SoyBienBuenoPara GirlsShould avoid making duck face It looks HORRIBLE
GirlsShould have the courage to live the life they love
GirlsShould love their man
GirlsShould wears full dress11
GirlsShould ALWAYS KEEP THEIR PUSSY SUPER CLEAN NO SMELL NO HAIR NO NOTHING JUST TIGHTNESS
Returned from pondicherry to Bangalore at Rs 240 overnight journey Safe solo again GirlsShould travel
Dont promise when youre happy Dont reply when youre angry Dont decide when youre sadGirlsShould
push on meup on meneverthoughthatguywasalwayshardtogeteventhoughhewasaguynotagirlgirlsshouldntplayhardguysimilar thinking RETWEET
I wish a woman would like meGirlsShould
TexasHumor girlsshould watch how a guy treats his momma If he treats her with respect hell do the same for you
TexasHumor girlsshould watch how a guy treats his momma If he treats her with respect hell do the same for you So true
